,accuracy mean,accuracy std,precision mean,precision std,recall mean,recall std,roc_auc mean,roc_auc std,f1 mean,f1 std,runtime mean,runtime std
MajorityClass,0.9464285714285714,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,7.001399993896484e-05,0.00017003775531081156
XGBClassifier,0.9477678571428572,0.014703882200427149,0.5823095238095237,0.28886152377042273,0.29166666666666663,0.14905102393880598,0.8044103773584906,0.0827249843084584,0.3653836163836164,0.17331646394852296,0.009895684719085692,0.0012545045710221552
MedPFNClassifier,0.9488392857142858,0.010035663078621096,0.5505,0.30821708888378796,0.22166666666666668,0.12989539261373725,0.8291037735849057,0.08315777483327634,0.2967049062049062,0.1591367450327387,0.03714899301528931,0.005193437079537383
MedPFNClassifier,0.9577678571428571,0.01092423981647472,0.7479999999999999,0.29667516197689175,0.29333333333333333,0.16414615125080945,0.8620597484276729,0.07994219448675025,0.40175541125541125,0.1936194824863068,0.7534583330154419,0.09035676163721817
MedPFNClassifier,0.9571428571428571,0.011231996181592197,0.7417380952380952,0.29220535216675886,0.30999999999999994,0.16132264602222518,0.8608647798742138,0.08015112145814428,0.4156470751470751,0.1816148810408565,2.9008514404296872,0.28636833613086077
MedPFNClassifier,0.956,0.009,0.718,0.327,0.23,0.141,0.839,0.084,0.334,0.181,0.767,0.113
RandomForestClassifier,0.9538392857142858,0.010316959883266405,0.6551666666666666,0.38065875682357236,0.20666666666666664,0.14183533592394043,0.8497169811320756,0.0872822766147135,0.30139898989898983,0.19203908590276283,0.1943049454689026,0.007029189444804426
CatBoostGrid,0.9516071428571429,0.007822981460623539,0.4486666666666667,0.36051149248013215,0.15000000000000002,0.13199354456365878,0.8602672955974843,0.08562283047635351,0.2152582972582972,0.18196622689341133,26.47710592985153,2.1107985746397304
XGBoostGrid,0.9494642857142856,0.0068784889343458805,0.33766666666666667,0.2638431570186994,0.12666666666666665,0.11522234397258553,0.8499921383647798,0.08093238762013777,0.17742279942279943,0.15187396181687526,5.837706401348114,0.25083486923749754
LogisticRegressionClassifier,0.9340178571428572,0.017131309526523503,0.3857103174603175,0.19094518455216283,0.31333333333333335,0.150549533680488,0.7519654088050315,0.11398176901880128,0.333862914862915,0.15426113387339013,0.006989898681640625,0.000666728826602316
TabPFNClassifier,0.9545535714285714,0.010664422762268795,0.655,0.3191219702520819,0.24500000000000002,0.1500641305105014,0.8596069182389936,0.08268862992722259,0.34299567099567096,0.19322495750721952,2.5858217287063594,0.04477058632453076
TabForestPFNClassifier,0.946875,0.01388680952345297,0.5223412698412698,0.2805516069531829,0.2883333333333333,0.18011266377802476,0.8522327044025155,0.07965682912473684,0.35126809301809303,0.19033640560577164,17.39233945131302,0.49118137215236113
